,icpsr_id,name,congress,party_status,committee_party_rank,party,state,committee
1179,1678,"Chavez, Dennis",84,1,1,Democrat,NM,Environment and Public Works
1180,5213,"Kerr, Robert S.",84,1,2,Democrat,OK,Environment and Public Works
1181,3704,"Gore, Albert A.",84,1,3,Democrat,TN,Environment and Public Works
1182,9141,"Symington, W. Stuart",84,1,4,Democrat,MO,Environment and Public Works
1183,9369,"Thurmond, J. Strom",84,1,5,Democrat,SC,Environment and Public Works
1184,6366,"McNamara, Patrick V.",84,1,6,Democrat,MI,Environment and Public Works
1185,6882,"Neuberger, Richard L.",84,1,7,Democrat,OR,Environment and Public Works
1186,6021,"Martin, Edward",84,2,1,Republican,PA,Environment and Public Works
1187,1570,"Case, Francis H.",84,2,2,Republican,SD,Environment and Public Works
1188,1329,"Bush, Prescott S.",84,2,3,Republican,CT,Environment and Public Works
1189,5372,"Kuchel, Thomas H.",84,2,4,Republican,CA,Environment and Public Works
1190,2087,"Cotton, Norris",84,2,5,Republican,NH,Environment and Public Works
1191,4660,"Hruska, Roman L.",84,2,6,Republican,NE,Environment and Public Works
1192,8313,"Scott, W. Kerr",84,6,1,Democrat,NC,Environment and Public Works
1193,0301,"Wofford, Thomas A.",84,6,2,Democrat,SC,Environment and Public Works
1194,4737,"Humphreys, Robert",84,6,3,Democrat,KY,Environment and Public Works
1195,8313,"Scott, W. Kerr",84,6,4,Democrat,NC,Environment and Public Works
1196,3783,"Green, Theodore F.",84,1,1,Democrat,RI,Rules and Administration
1197,4227,"Hayden, Carl",84,1,2,Democrat,AZ,Rules and Administration
1198,4328,"Hennings, Thomas C. Jr.",84,1,3,Democrat,MO,Rules and Administration
1199,3704,"Gore, Albert A.",84,1,4,Democrat,TN,Rules and Administration
1200,5967,"Mansfield, Michael J.",84,1,5,Democrat,MT,Rules and Administration
1201,4922,"Jenner, William E.",84,2,1,Republican,IN,Rules and Administration
1202,464,"Barrett, Frank A.",84,2,2,Republican,WY,Rules and Administration
1203,6137,"McCarthy, Joseph R.",84,2,3,Republican,WI,Rules and Administration
1204,2267,"Curtis, Carl T.",84,2,4,Republican,NE,Rules and Administration
1205,4979,"Johnson, Lyndon B.",84,1,1,Democrat,TX,
1206,1831,"Clements, Earle C.",84,1,2,Democrat,KY,
1207,5343,"Knowland, William F.",84,2,1,Republican,CA,
1208,8185,"Saltonstall, Leverett",84,2,2,Republican,MA,
1209,2052,"Cooper, John Sherman",84,0,0,Republican,KY,
1210,7826,"Revercomb, W. Chapman",84,0,0,Republican,WV,
1211,9369,"Thurmond, J. Strom",84,0,0,Democrat,SC,
1212,4979,"Johnson, Lyndon B.",85,1,1,Democrat,TX,Aeronautical and Space Sciences
1213,4227,"Hayden, Carl",85,1,2,Democrat,AZ,Aeronautical and Space Sciences
1214,8138,"Russell, Richard B.",85,1,3,Democrat,GA,Aeronautical and Space Sciences
1215,3783,"Green, Theodore F.",85,1,4,Democrat,RI,Aeronautical and Space Sciences
1216,5913,"Magnuson, Warren G.",85,1,5,Democrat,WA,Aeronautical and Space Sciences
1217,165,"Anderson, Clinton P.",85,1,6,Democrat,NM,Aeronautical and Space Sciences
1218,5213,"Kerr, Robert S.",85,1,7,Democrat,OK,Aeronautical and Space Sciences
1219,9141,"Symington, W. Stuart",85,1,8,Democrat,MO,Aeronautical and Space Sciences
1220,1027,"Bridges, H. Styles",85,2,1,Republican,NH,Aeronautical and Space Sciences
1221,8185,"Saltonstall, Leverett",85,2,2,Republican,MA,Aeronautical and Space Sciences
1222,0110,"Wiley, Alexander",85,2,3,Republican,WI,Aeronautical and Space Sciences
1223,1024,"Bricker, John W.",85,2,4,Republican,OH,Aeronautical and Space Sciences
1224,4382,"Hickenlooper, Bourke B.",85,2,5,Republican,IA,Aeronautical and Space Sciences
1225,8666,"Smith, Margaret Chase",85,2,6,Republican,ME,Aeronautical and Space Sciences
1226,4898,"Javits, Jacob K.",85,2,7,Republican,NY,Aeronautical and Space Sciences
1227,2901,"Ellender, Allen J.",85,1,1,Democrat,LA,"Agriculture, Nutrition, and Forestry"
1228,5009,"Johnston, Olin D.",85,1,2,Democrat,SC,"Agriculture, Nutrition, and Forestry"
1229,4520,"Holland, Spessard L.",85,1,3,Democrat,FL,"Agriculture, Nutrition, and Forestry"
1230,2822,"Eastland, James O.",85,1,4,Democrat,MS,"Agriculture, Nutrition, and Forestry"
1231,4728,"Humphrey, Hubert H. Jr.",85,1,5,,MN,"Agriculture, Nutrition, and Forestry"
1232,8313,"Scott, W. Kerr",85,1,6,Democrat,NC,"Agriculture, Nutrition, and Forestry"
1233,9141,"Symington, W. Stuart",85,1,7,Democrat,MO,"Agriculture, Nutrition, and Forestry"
1234,9174,"Talmadge, Herman E.",85,1,8,Democrat,GA,"Agriculture, Nutrition, and Forestry"
1235,52,"Aiken, George D.",85,2,1,Republican,VT,"Agriculture, Nutrition, and Forestry"
1236,0450,"Young, Milton R.",85,2,2,Republican,ND,"Agriculture, Nutrition, and Forestry"
1237,9374,"Thye, Edward J.",85,2,3,Republican,MN,"Agriculture, Nutrition, and Forestry"
1238,4382,"Hickenlooper, Bourke B.",85,2,4,Republican,IA,"Agriculture, Nutrition, and Forestry"
1239,6796,"Mundt, Karl E.",85,2,5,Republican,SD,"Agriculture, Nutrition, and Forestry"
1240,0163,"Williams, John J.",85,2,6,Republican,DE,"Agriculture, Nutrition, and Forestry"
1241,8270,"Schoeppel, Andrew F.",85,2,7,Republican,KS,"Agriculture, Nutrition, and Forestry"
1242,7638,"Proxmire, William",85,6,1,Democrat,WI,"Agriculture, Nutrition, and Forestry"
1243,4227,"Hayden, Carl",85,1,1,Democrat,AZ,Appropriations
1244,8138,"Russell, Richard B.",85,1,2,Democrat,GA,Appropriations
1245,1678,"Chavez, Dennis",85,1,3,Democrat,NM,Appropriations
1246,2901,"Ellender, Allen J.",85,1,4,Democrat,LA,Appropriations
1247,4418,"Hill, J. Lister",85,1,5,Democrat,AL,Appropriations
1248,6151,"McClellan, John L.",85,1,6,Democrat,AR,Appropriations
1249,7958,"Robertson, A. Willis",85,1,7,Democrat,VA,Appropriations
1250,5913,"Magnuson, Warren G.",85,1,8,Democrat,WA,Appropriations
1251,4520,"Holland, Spessard L.",85,1,9,Democrat,FL,Appropriations
1252,8883,"Stennis, John C.",85,1,10,Democrat,MS,Appropriations
1253,4979,"Johnson, Lyndon B.",85,1,11,Democrat,TX,Appropriations
1254,7229,"Pastore, John O.",85,1,12,Democrat,RI,Appropriations
1255,1027,"Bridges, H. Styles",85,2,1,Republican,NH,Appropriations
1256,8185,"Saltonstall, Leverett",85,2,2,Republican,MA,Appropriations
1257,0450,"Young, Milton R.",85,2,3,Republican,ND,Appropriations
1258,5343,"Knowland, William F.",85,2,4,Republican,CA,Appropriations
1259,9374,"Thye, Edward J.",85,2,5,Republican,MN,Appropriations
1260,6137,"McCarthy, Joseph R.",85,2,6,Republican,WI,Appropriations
1261,6796,"Mundt, Karl E.",85,2,7,Republican,SD,Appropriations
1262,8666,"Smith, Margaret Chase",85,2,8,Republican,ME,Appropriations
1263,2803,"Dworshak, Henry C.",85,2,9,Republican,ID,Appropriations
1264,2609,"Dirksen, Everett McK.",85,2,10,Republican,IL,Appropriations
1265,7551,"Potter, Charles E.",85,2,11,Republican,MI,Appropriations
1266,4834,"Ives, Irving M.",85,7,1,Republican,NY,Appropriations
1267,8138,"Russell, Richard B.",85,1,1,Democrat,GA,Armed Services
1268,1365,"Byrd, Harry Flood",85,1,2,Democrat,VA,Armed Services
1269,4979,"Johnson, Lyndon B.",85,1,3,Democrat,TX,Armed Services
1270,5122,"Kefauver, C. Estes",85,1,4,Democrat,TN,Armed Services
1271,8883,"Stennis, John C.",85,1,5,Democrat,MS,Armed Services
1272,9141,"Symington, W. Stuart",85,1,6,Democrat,MO,Armed Services
1273,4851,"Jackson, Henry M.",85,1,7,Democrat,WA,Armed Services
1274,2987,"Ervin, Samuel J.",85,1,8,Democrat,NC,Armed Services
1275,1027,"Bridges, H. Styles",85,2,1,Republican,NH,Armed Services
1276,8185,"Saltonstall, Leverett",85,2,2,Republican,MA,Armed Services
